n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.1301341104395083,0.09739060604545571,1.3362080361094582,-0.20431602451782693,0.3889126712328767,0.09583995098809538,3.69412858244463,0.285322333183198,P_md,P_lead,20,1,0.005,0.11087328767123288,27.940068493150683
4672,0.08822400769978224,0.09862237244961373,0.8945638348424033,-0.2523110100383753,0.3829195205479452,0.05390550170211437,1.9428685831240087,0.28552489284622906,P_md,P_lead,20,1,0.008,0.11087328767123288,27.940068493150683
4672,0.060283939206631554,0.09974694363485503,0.6043687857475993,-0.30445711710103385,0.3777825342465753,0.025949202178127077,0.8952003527293152,0.2856599326215833,P_md,P_lead,20,1,0.01,0.11087328767123288,27.940068493150683
4668,0.14532047223590813,0.10238551662583058,1.4193459878410735,-0.30827187169280335,0.38496143958868895,0.1060400952459136,3.9946428209919302,0.3215622694071996,P_md,P_lead,20,5,0.0,0.04948586118251928,12.47043701799486
4668,0.12661481670891583,0.10243964724163701,1.23599426704637,-0.332791077647263,0.3828191945158526,0.08731235929071943,3.1940710968108026,0.321743027158173,P_md,P_lead,20,5,0.003,0.04948586118251928,12.47043701799486
4668,0.11414437969092098,0.10262023452902894,1.112298955608332,-0.34867211021792033,0.3808911739502999,0.07482720198725655,2.68381488485008,0.32186353232548864,P_md,P_lead,20,5,0.005,0.04948586118251928,12.47043701799486
4668,0.09543872416392868,0.10310634726313266,0.9256338401782792,-0.3718162437679089,0.37789203084832906,0.05609946603206231,1.9530460000892922,0.32204429007646207,P_md,P_lead,20,5,0.008,0.04948586118251928,12.47043701799486
4668,0.08296828714593382,0.10357233890546055,0.8010660763552533,-0.3868055562521946,0.3755355612682091,0.04361430872859948,1.488439533237069,0.3221647952437776,P_md,P_lead,20,5,0.01,0.04948586118251928,12.47043701799486
4663,0.15110039351512097,0.10259810651028874,1.4727405666104405,-0.2244339312658754,0.383873043105297,0.11152317730101877,4.366020120232246,0.32446101362618457,P_md,P_lead,20,10,0.0,0.03216813210379584,8.106369290156552
4663,0.13894083957988615,0.10261279553666001,1.3540303512172358,-0.23829786530280006,0.38151404675101863,0.09935189073768397,3.8221085674324504,0.32455719978503966,P_md,P_lead,20,10,0.003,0.03216813210379584,8.106369290156552
4663,0.13083447028972958,0.10271812686646271,1.2737232880017286,-0.24741387928586156,0.38108513832296803,0.09123769969546076,3.468616360252963,0.32462132389094295,P_md,P_lead,20,10,0.005,0.03216813210379584,8.106369290156552
4663,0.11867491635449477,0.10301884573184597,1.151972879441893,-0.26090051090059774,0.3791550503967403,0.07906641313212595,2.9522350709761485,0.32471751004979804,P_md,P_lead,20,10,0.008,0.03216813210379584,8.106369290156552
4663,0.1105685470643382,0.10331382667438606,1.0702202272771955,-0.2697681280264872,0.37765387089856317,0.07095222208990276,2.61727284493797,0.3247816341557014,P_md,P_lead,20,10,0.01,0.03216813210379584,8.106369290156552
4653,0.14242468366609787,0.105231702627911,1.3534389362652206,-0.1689497327637033,0.3685794111326026,0.10063374143563755,3.8920957982949784,0.3452898729850454,P_md,P_lead,20,20,0.0,0.02192134107027724,5.524177949709864
4653,0.13413841674153307,0.10528285057903003,1.2740766041554201,-0.1853214897379235,0.36793466580700623,0.09230751731399638,3.5209266104413244,0.34562001188038943,P_md,P_lead,20,20,0.003,0.02192134107027724,5.524177949709864
4653,0.1286142387918232,0.10538105849629502,1.22046827605499,-0.19666393371006774,0.36750483558994196,0.08675670123290223,3.2784100193233585,0.34584010447728547,P_md,P_lead,20,20,0.005,0.02192134107027724,5.524177949709864
