src_code,src_name,dst_code,dst_name,n,beta,t,p,abs_t
D600,生產製程及檢測設備,DB00,IC通路,4245,-0.028101492896041802,-0.7055323900606196,0.48047898236084396,0.7055323900606196
D700,基板,DC00,IP設計/IC設計代工服務,4245,0.0702343191933429,1.6463326172695638,0.09969529766242421,1.6463326172695638
D700,基板,D100,IC設計,4245,0.045823545494366145,1.2395246401830655,0.21515126947602425,1.2395246401830655
D700,基板,D300,IC/晶圓製造,4245,0.03989890402512739,1.059901360579482,0.28918947661930283,1.059901360579482
D700,基板,D400,生產製程及檢測設備,4245,0.05005974707663367,1.732160401550754,0.08324500726748929,1.732160401550754
D700,基板,D500,化學品,4245,0.0415324369889499,1.4669468088284725,0.14239052560877474,1.4669468088284725
D700,基板,D600,生產製程及檢測設備,4245,0.05112905445141961,1.8077949501769883,0.07063842001374954,1.8077949501769883
D700,基板,D800,導線架,4245,0.017588812261708626,0.5158971652822426,0.6059262340458222,0.5158971652822426
D700,基板,D900,IC封裝測試,4245,0.021718967384148583,0.6493624117046007,0.5161041537294566,0.6493624117046007
D700,基板,DA00,IC模組,4245,0.019374213068917984,0.5760078001552779,0.5646099093176502,0.5760078001552779
D700,基板,DB00,IC通路,4245,0.020231457145570193,0.7673848283911064,0.44285274623338033,0.7673848283911064
D800,導線架,DC00,IP設計/IC設計代工服務,4245,-0.015267300492203388,-0.3956214759561434,0.6923842915510443,0.3956214759561434
D800,導線架,D100,IC設計,4245,-0.018916235666979093,-0.5810043565616978,0.5612375173666015,0.5810043565616978
D800,導線架,D300,IC/晶圓製造,4245,-0.004893376452708005,-0.14985203310702938,0.8808813563164912,0.14985203310702938
D800,導線架,D400,生產製程及檢測設備,4245,0.01530849471618975,0.5995198002892297,0.5488263103114427,0.5995198002892297
D800,導線架,D500,化學品,4245,-9.373990560654533e-05,-0.003758560176368405,0.9970011099252029,0.003758560176368405
D800,導線架,D600,生產製程及檢測設備,4245,0.027411343505671083,1.1135704013155472,0.26546353024986646,1.1135704013155472
D800,導線架,D700,基板,4245,0.011032030400048123,0.3696514533816147,0.7116422080539622,0.3696514533816147
D800,導線架,D900,IC封裝測試,4245,0.012816047173649587,0.4738749021728942,0.6355891175106487,0.4738749021728942
D800,導線架,DA00,IC模組,4245,-0.020358530196861742,-0.710389151264054,0.4774628488175824,0.710389151264054
D800,導線架,DB00,IC通路,4245,0.0005327927416828275,0.024095146178405347,0.9807767149885003,0.024095146178405347
D900,IC封裝測試,DC00,IP設計/IC設計代工服務,4245,0.103481727924272,1.4521472739873713,0.14646065963736038,1.4521472739873713
D900,IC封裝測試,D100,IC設計,4245,0.03925932722324605,0.6406038472911804,0.5217800993224313,0.6406038472911804
D900,IC封裝測試,D300,IC/晶圓製造,4245,0.09295990459360629,1.5085882777500321,0.131404031655229,1.5085882777500321
D900,IC封裝測試,D400,生產製程及檢測設備,4245,0.12795475594917988,2.771982418234015,0.0055716045798964945,2.771982418234015
D900,IC封裝測試,D500,化學品,4245,0.10975740101360248,2.526754955827987,0.01151217953262553,2.526754955827987
D900,IC封裝測試,D600,生產製程及檢測設備,4245,0.12053056366439892,2.6103261201794083,0.009045594384082358,2.6103261201794083
D900,IC封裝測試,D700,基板,4245,0.16503623420436098,3.1369180020630867,0.0017073386946624477,3.1369180020630867
D900,IC封裝測試,D800,導線架,4245,0.10462370073422415,2.0123407816896544,0.044184026268669685,2.0123407816896544
D900,IC封裝測試,DA00,IC模組,4245,0.07012147135327451,1.3528853433885581,0.17609226242354736,1.3528853433885581
D900,IC封裝測試,DB00,IC通路,4245,0.09618218706632274,2.4270057996970564,0.015224012480898089,2.4270057996970564
DA00,IC模組,DC00,IP設計/IC設計代工服務,4245,-0.014691672268199412,-0.2896289873888043,0.7721000883250924,0.2896289873888043
DA00,IC模組,D100,IC設計,4245,-0.013518175912012455,-0.3202674464557571,0.7487655984894095,0.3202674464557571
DA00,IC模組,D300,IC/晶圓製造,4245,0.07168845380928197,1.8022020279385345,0.07151362577023072,1.8022020279385345
DA00,IC模組,D400,生產製程及檢測設備,4245,0.06264935855110666,1.9278877608461578,0.05386908841841627,1.9278877608461578
DA00,IC模組,D500,化學品,4245,0.07399714770547339,2.3448875930144295,0.019032816700091444,2.3448875930144295
DA00,IC模組,D600,生產製程及檢測設備,4245,0.08328500320315138,2.6022120439907397,0.009262456319198021,2.6022120439907397
DA00,IC模組,D700,基板,4245,0.061735064813643,1.7095032870461653,0.08735776336213681,1.7095032870461653
DA00,IC模組,D800,導線架,4245,0.07757499738372836,2.1424112057501423,0.0321604069577483,2.1424112057501423
DA00,IC模組,D900,IC封裝測試,4245,0.04212132591113319,1.1494129815894683,0.2503857296493057,1.1494129815894683
DA00,IC模組,DB00,IC通路,4245,0.0628946518528489,1.9985729014351377,0.0456545848320889,1.9985729014351377
DB00,IC通路,DC00,IP設計/IC設計代工服務,4245,-0.023345679701739466,-0.29311026902288306,0.769437867777772,0.29311026902288306
DB00,IC通路,D100,IC設計,4245,0.028028490976912082,0.4085044515466665,0.6829033630509733,0.4085044515466665
DB00,IC通路,D300,IC/晶圓製造,4245,0.08962514459384328,1.3093811014613648,0.19040528984016836,1.3093811014613648
DB00,IC通路,D400,生產製程及檢測設備,4245,0.0509852479239054,0.9577305606075431,0.33819864223227303,0.9577305606075431
DB00,IC通路,D500,化學品,4245,0.08177935613796816,1.5883303878875423,0.11221164946079683,1.5883303878875423
DB00,IC通路,D600,生產製程及檢測設備,4245,0.04804610510633265,0.9104517884134622,0.36258429635870293,0.9104517884134622
DB00,IC通路,D700,基板,4245,0.05337951253999175,0.8940597074447401,0.37128994599798726,0.8940597074447401
DB00,IC通路,D800,導線架,4245,0.027042457151301862,0.45666025282316197,0.6479152640490748,0.45666025282316197
DB00,IC通路,D900,IC封裝測試,4245,0.006111005819132437,0.10252218828168595,0.9183422019387777,0.10252218828168595
DB00,IC通路,DA00,IC模組,4245,0.0049379189152379665,0.0766598214468055,0.9388941682810646,0.0766598214468055
