n,F_lag1,p_lag1,F_lag2,p_lag2,F_lag3,p_lag3,F_lag5,p_lag5,weight,industry_code,industry_name,src,dst,freq,lags,F_lag4,p_lag4
578,0.2084037528233446,0.6481941026699481,0.32856318149706515,0.7200934630962269,,,,,VW,5800,運動科技,下游,中游,W,"1,2,4",0.3104890664776955,0.8710050801556759
135,0.06511232293643572,0.7989910840484502,0.01936726692612573,0.9808219472949355,0.49103065451597966,0.6891389861408083,,,VW,5800,運動科技,下游,中游,M,"1,2,3",,
2739,0.13517994053580548,0.7131490681614097,2.5581570399483637,0.07763284738729596,2.11118238790001,0.09672505822747632,1.4169854941255253,0.21478572260873358,VW,6000,自動化,上游,下游,D,"1,2,3,5",,
578,1.4904418434788307,0.22264916669922566,1.325710296999615,0.26643050327767104,,,,,VW,6000,自動化,上游,下游,W,"1,2,4",1.2904704793489865,0.2724927208944487
135,3.4415104303254487,0.06582540514377012,1.5221845240187433,0.22215840723202726,1.0149622863719445,0.3884963290643507,,,VW,6000,自動化,上游,下游,M,"1,2,3",,
2739,9.37495617471427,0.00222109396778271,4.933698882179817,0.007264102357267164,3.8859262274188815,0.008743732311562568,2.4736251172756893,0.03033134448071592,VW,6000,自動化,下游,上游,D,"1,2,3,5",,
578,0.3943849292474901,0.5302532242357698,0.6681385985340631,0.5130622922960458,,,,,VW,6000,自動化,下游,上游,W,"1,2,4",1.4119498640367063,0.22856284232228127
135,0.15573624241000786,0.6937545418110358,0.10572032306605011,0.8997547071103444,0.07084068294142042,0.9754327363072609,,,VW,6000,自動化,下游,上游,M,"1,2,3",,
2740,0.7309657953723798,0.392645173714096,0.4727037908913356,0.623365627585626,1.2169000190351673,0.3019539370240074,1.6032297875336714,0.15575225429136166,VW,C100,製藥,上游,下游,D,"1,2,3,5",,
578,0.8316874326454865,0.36216788963585084,0.3435921494946655,0.7093646541175609,,,,,VW,C100,製藥,上游,下游,W,"1,2,4",0.3279347938660984,0.8592451723238967
135,0.7448643596281362,0.3896844120559259,1.38028713287287,0.2552240685230189,1.4105575933615455,0.2428569731761697,,,VW,C100,製藥,上游,下游,M,"1,2,3",,
2740,0.6171115359267612,0.4321907087358179,1.9348194694054837,0.14464815376326165,1.51161630019367,0.20946103815951822,1.898752400706702,0.09129963165262257,VW,C100,製藥,下游,上游,D,"1,2,3,5",,
578,0.34209943141265947,0.5588497247197256,0.4047631418428754,0.6673260716698034,,,,,VW,C100,製藥,下游,上游,W,"1,2,4",0.24631941801065546,0.911887255665947
135,1.5654549950537417,0.2130981120574626,1.4953231646530882,0.2280656167614089,1.2151659242203532,0.30706733041588496,,,VW,C100,製藥,下游,上游,M,"1,2,3",,
2740,0.0565102623816614,0.8121169445847279,0.5413073458512009,0.5820492801906757,1.0691806010895337,0.3609060571401244,1.5345037333039326,0.17563212442699233,VW,C100,製藥,上游,中游,D,"1,2,3,5",,
578,0.47057729621682265,0.49299868328904767,1.4035866037983211,0.2465605477815518,,,,,VW,C100,製藥,上游,中游,W,"1,2,4",0.6666415237539451,0.6153536509670365
135,9.46692062828985e-05,0.9922516589806333,0.17714433164004723,0.8378638801037558,3.630802620563044,0.014862587482166536,,,VW,C100,製藥,上游,中游,M,"1,2,3",,
2740,0.09432158121907933,0.7587767873117964,0.7582552697652183,0.4685816213786999,0.5833543732797599,0.6259144430961764,1.12919860605255,0.34249303043335333,VW,C100,製藥,中游,上游,D,"1,2,3,5",,
578,0.40559807332386777,0.5244661513608133,0.16606695209127484,0.8470304177124633,,,,,VW,C100,製藥,中游,上游,W,"1,2,4",0.12746478436754827,0.9724677841030527
135,0.2639563884808342,0.6082804982538301,0.8969578846065803,0.41035584411799864,2.557251431286676,0.05820231565604643,,,VW,C100,製藥,中游,上游,M,"1,2,3",,
2750,1.3278679020542519,0.24928518139363387,1.4865562379583186,0.22633225888157765,1.4976157597789426,0.2131851883449702,1.0730989261270083,0.37318239229066025,VW,C100,製藥,中游,下游,D,"1,2,3,5",,
581,1.3462969764934651,0.24640638523854572,0.6797363119112377,0.5071580286522388,,,,,VW,C100,製藥,中游,下游,W,"1,2,4",1.086635704721433,0.3622394431891572
136,2.697143801313868,0.10290843025263478,1.433929488960331,0.2421440029114213,4.033947744989302,0.008883802495241427,,,VW,C100,製藥,中游,下游,M,"1,2,3",,
2750,0.38501421899641913,0.5349833445729691,2.3683662973873143,0.09382501734084721,2.1138329765796757,0.09638799082618693,1.9537362486184726,0.08243250254907906,VW,C100,製藥,下游,中游,D,"1,2,3,5",,
581,0.8259885753700045,0.36381449328657367,0.6221678661174818,0.5371411008424123,,,,,VW,C100,製藥,下游,中游,W,"1,2,4",0.7314301125894926,0.5707347843777355
136,1.770137002168323,0.18565905306948258,0.9455596906819558,0.3911376188255551,7.442308321390304,0.00012531762878359513,,,VW,C100,製藥,下游,中游,M,"1,2,3",,
