A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
1000,N000,859,-0.06878532828338002,-1.1054052003143229,0.2689840514343008,0,0,0,水泥,石化及塑橡膠
1000,O000,859,-0.013779619146064948,-0.21228860862706855,0.8318818819058748,0,0,0,水泥,紡織
1000,P000,859,-0.05075542999188782,-0.8899702227357849,0.373481875331272,0,0,0,水泥,電機機械
1000,Q000,859,-0.09887826354056184,-1.3966425258851605,0.16252109541067528,0,0,0,水泥,鋼鐵
1000,R000,859,-0.05428523118917214,-0.8906464782272685,0.37311885635303,0,0,0,水泥,軟體服務
1000,R300,859,-0.08894917910578817,-1.3336083928672764,0.18233223092628992,0,0,0,水泥,電子商務
1000,S000,859,-0.04719290623707417,-0.6453746510154186,0.5186844264457049,1,3,3,水泥,建材營造
1000,T000,859,-0.10593657136943543,-1.125786578248553,0.26025586661795175,0,0,1,水泥,交通運輸及航運
1000,U000,859,-0.09706331044497143,-1.1346144714550925,0.25653688703143074,0,0,1,水泥,金融
1000,V000,859,-0.021655506603710593,-0.35489835467750375,0.7226657411284243,0,0,0,水泥,貿易百貨
1000,W000,859,-0.010062029807645737,-0.27069942412707265,0.7866222197595665,0,0,0,水泥,油電燃氣
1000,X000,859,-0.038595979111612486,-0.6111462473778471,0.5411027652111775,0,0,1,水泥,其他
1000,Y000,859,-0.021497663345254516,-0.3349361079278718,0.7376732834757622,0,0,0,水泥,文化創意
2000,1000,859,0.07224103828720346,1.3295170031963492,0.18367745993107187,0,0,0,造紙,水泥
2000,3000,859,0.02206252881188423,0.45148969576169495,0.6516366499521671,0,0,0,造紙,汽車
2000,4100,859,0.0382961312613835,0.6374555046384954,0.5238281841212549,0,0,0,造紙,太空衛星科技
2000,5100,859,0.018604759821159184,0.2993067130564183,0.7647060329631863,0,0,0,造紙,區塊鏈
2000,5200,859,0.010281543790985054,0.17250282661259975,0.8630422393565519,0,0,0,造紙,金融科技
2000,5300,859,0.020467760473718823,0.4200777431354408,0.6744286612928991,0,0,0,造紙,人工智慧
2000,5400,859,0.009142007924863844,0.18452106044969913,0.8536047069641983,0,0,0,造紙,雲端運算
2000,5500,859,-0.014317505971648731,-0.2973348211058873,0.7662108996627841,0,0,1,造紙,資通訊安全
2000,5600,859,0.02049582122187962,0.39048559690576756,0.696177503702762,0,0,0,造紙,大數據
2000,5700,859,0.04383862662572025,0.8503086568613015,0.3951535048721102,0,0,0,造紙,體驗科技
2000,5800,859,0.031532628225544264,0.6980262711310086,0.4851607647355174,0,0,0,造紙,運動科技
2000,6000,859,0.05842836114421388,1.090843141519933,0.2753419095885633,0,0,0,造紙,自動化
2000,B000,859,0.02887670377931964,0.5359463167920774,0.5919956526121828,0,0,0,造紙,休閒娛樂
2000,C100,859,-0.0019417922558847276,-0.02739164040157434,0.9781473657417521,0,1,1,造紙,製藥
2000,C200,859,0.026340560835842006,0.5071157937298004,0.6120735739012333,0,0,0,造紙,醫療器材
2000,C300,859,0.040807534563299906,0.6687384321494347,0.5036623470087219,0,0,0,造紙,食品生技
2000,C400,859,0.04238158955565674,0.6176505631573205,0.5368057064807954,0,0,0,造紙,再生醫療
