n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.11388344247337488,0.1242083525491459,0.9168742692107947,-0.2872441615710708,0.3621575342465753,0.06550943440673063,2.6750360476431556,0.40246459069954327,D100,3,1,0.005,0.2786815068493151,70.22773972602741
4672,0.008541832884333796,0.12639815529453524,0.06757877806388445,-0.49240031732876943,0.3501712328767123,-0.039988084731751264,-1.5350562888190649,0.403761735085748,D100,3,1,0.008,0.2786815068493151,70.22773972602741
4672,-0.06168590684169361,0.12833165914360206,-0.48067567468030314,-0.8273934179437041,0.3420376712328767,-0.11031976415740592,-4.064626637905582,0.4046264980098844,D100,3,1,0.01,0.2786815068493151,70.22773972602741
4668,0.15629533541547275,0.12350457673830122,1.2655023768605207,-0.2891270940994821,0.3511139674378749,0.1072191036814132,4.336252081769755,0.40175440409794316,D100,3,5,0.0,0.09447300771208227,23.80719794344473
4668,0.12058453850030569,0.12347835585525868,0.97656417325199,-0.32239014027497126,0.34897172236503854,0.07154168425227232,2.8238590688066485,0.40148116486308444,D100,3,5,0.003,0.09447300771208227,23.80719794344473
4668,0.09677734055686094,0.12367899440351986,0.7824880936621417,-0.3437224496622171,0.3459725792630677,0.04775673796617844,1.8536792642889333,0.4012990053731785,D100,3,5,0.005,0.09447300771208227,23.80719794344473
4668,0.06106654364169383,0.12430501857567514,0.49126370231397687,-0.37450589765567344,0.3421165381319623,0.012079318537037632,0.45689281919037866,0.4010257661383197,D100,3,5,0.008,0.09447300771208227,23.80719794344473
4668,0.037259345698249104,0.1249365452262134,0.29822615657241325,-0.3942460688208552,0.33911739502999144,-0.011705627749056287,-0.4350256857094373,0.4008436066484138,D100,3,5,0.01,0.09447300771208227,23.80719794344473
4663,0.16512612585775488,0.129299423805083,1.2770832305229771,-0.3088086010167663,0.36907570233755094,0.11177175308334047,4.140661959118565,0.43740857816087003,D100,3,10,0.0,0.04374865966116234,11.02466223461291
4663,0.14858913250583553,0.12932619138398918,1.1489484915290804,-0.33129357174377905,0.36821788548144974,0.09517993644154991,3.4747153403508384,0.43785802918101496,D100,3,10,0.003,0.04374865966116234,11.02466223461291
4663,0.13756447027122262,0.12944589792277075,1.062717880432917,-0.3458937935508697,0.3669311601972979,0.08411872534702286,3.039871504716971,0.4381576631944449,D100,3,10,0.005,0.04374865966116234,11.02466223461291
4663,0.12102747691930325,0.12977768622110356,0.9325753944565441,-0.36722492442450827,0.36500107227107015,0.06752690870523231,2.402113771132516,0.4386071142145898,D100,3,10,0.008,0.04374865966116234,11.02466223461291
4663,0.11000281468469034,0.13009976018010233,0.8455266522583057,-0.38107500261300253,0.3637143469869183,0.05646569761070529,1.9870031122532381,0.4389067482280198,D100,3,10,0.01,0.04374865966116234,11.02466223461291
4653,0.15885328127544152,0.13296612753106604,1.194689837367244,-0.3762060752335,0.35955297657425317,0.10233150392784168,3.596454186593911,0.46700065324243323,D100,3,20,0.0,0.0223511712873415,5.6324951644100585
4653,0.1504045385288265,0.13294290460857588,1.1313468663232757,-0.3818191613962164,0.35933806146572106,0.0938707243897846,3.287154078250253,0.4671001049888244,D100,3,20,0.003,0.0223511712873415,5.6324951644100585
4653,0.1447720433644164,0.13297920349019354,1.0886818356908907,-0.3855377856178399,0.3582634859230604,0.08823020469774655,3.081379249062529,0.4671664061530851,D100,3,20,0.005,0.0223511712873415,5.6324951644100585
4653,0.13632330061780132,0.13311123833506064,1.024130661865345,-0.3910807601136794,0.35697399527186763,0.07976942515968949,2.773685211774222,0.46726585789947644,D100,3,20,0.008,0.0223511712873415,5.6324951644100585
4653,0.1306908054533913,0.13325086632456812,0.9807876605849518,-0.3947528778031748,0.35632924994627124,0.07412890546765144,2.5693882023124113,0.4673321590637372,D100,3,20,0.01,0.0223511712873415,5.6324951644100585
4672,0.26804943256617625,0.11821303292363086,2.267511677323635,-0.17935286075169954,0.3803510273972603,0.22373032150301944,9.577015762427704,0.3687284475089883,D100,5,1,0.0,0.21746575342465754,54.801369863013704
4672,0.1858473777716557,0.11867634431793672,1.5660018754349747,-0.23058090418199106,0.3741438356164384,0.14147246555750825,5.721526024083962,0.3691927048300494,D100,5,1,0.003,0.21746575342465754,54.801369863013704
4672,0.13104600790864201,0.11943398409318264,1.0972254580940688,-0.2706206630645632,0.3657962328767123,0.08663389492716747,3.369354604693474,0.36950220971075654,D100,5,1,0.005,0.21746575342465754,54.801369863013704
4672,0.04884395311412147,0.1212267650966896,0.4029139363338112,-0.3639611908413055,0.3559503424657534,0.004376038981656332,0.1603615780639537,0.3699664670318176,D100,5,1,0.008,0.21746575342465754,54.801369863013704
4672,-0.005957416748892231,0.12284460134396073,-0.0484955519714836,-0.6091858435295074,0.3486729452054795,-0.050462531648684424,-1.7771063867108516,0.370275971912525,D100,5,1,0.01,0.21746575342465754,54.801369863013704
4668,0.15758230059667155,0.12229596884480838,1.2885322556840855,-0.22895974685124876,0.3596829477292202,0.10964070185129361,4.330412427832039,0.3924659199553983,D100,5,5,0.0,0.08547557840616966,21.539845758354755
4668,0.1252725319591394,0.1223002610984184,1.024303062266802,-0.24875911856588628,0.35732647814910024,0.07734893822699568,2.9677255772458078,0.3923185249108506,D100,5,5,0.003,0.08547557840616966,21.539845758354755
4668,0.10373268620078466,0.12250433101335526,0.8467675007300425,-0.273209406148912,0.35475578406169667,0.05582109581079708,2.1000274431086434,0.39222026154781864,D100,5,5,0.005,0.08547557840616966,21.539845758354755
4668,0.07142291756325252,0.12311024735920219,0.5801541227909314,-0.30844396985039557,0.3508997429305913,0.023529332186499115,0.859131048639378,0.39207286650327083,D100,5,5,0.008,0.08547557840616966,21.539845758354755
4668,0.04988307180489776,0.1237117817198825,0.4032200580365641,-0.34508339046954173,0.3485432733504713,0.0020014897703005134,0.07162693120222981,0.3919746031402389,D100,5,5,0.01,0.08547557840616966,21.539845758354755
4663,0.17435352726215086,0.128490719020612,1.356934793354077,-0.30751875184970046,0.3727214239759811,0.12183001321992011,4.678608932580279,0.43059705142371607,D100,5,10,0.0,0.04074630066480806,10.268067767531631
4663,0.15895142561085343,0.12857383498572392,1.236265727225936,-0.3300643117522406,0.3720780613339052,0.10638679147707318,4.020871722067411,0.4309341612020383,D100,5,10,0.003,0.04074630066480806,10.268067767531631
4663,0.1486833578433218,0.12872491849733622,1.155047209032792,-0.34470355115144746,0.37100579026377867,0.0960913103151752,3.5922748895943086,0.4311589010542531,D100,5,10,0.005,0.04074630066480806,10.268067767531631
4663,0.13328125619202436,0.12909438125368825,1.032432665912146,-0.3660912129701377,0.3688612481235256,0.08064808857232832,2.964760903702432,0.43149601083257527,D100,5,10,0.008,0.04074630066480806,10.268067767531631
4663,0.12301318842449273,0.12943528052363454,0.9503837587931125,-0.37997768634013385,0.3675745228393738,0.07035260741043035,2.5569071940332724,0.43172075068479004,D100,5,10,0.01,0.04074630066480806,10.268067767531631
4653,0.1685034137314324,0.1294042642172198,1.3021473036512943,-0.3762060752335,0.35998280679131744,0.11523012194456628,4.194591868249811,0.44016064660956183,D100,5,20,0.0,0.02192134107027724,5.524177949709864
4653,0.1602171468068676,0.12941582118840458,1.2380027830880294,-0.3818191613962164,0.3591231463571889,0.10693776582286077,3.875439000542467,0.4402109574662949,D100,5,20,0.003,0.02192134107027724,5.524177949709864
4653,0.15469296885715775,0.12947571006338154,1.1947643985225627,-0.3855377856178399,0.3582634859230604,0.10140952840839045,3.663252332565146,0.4402444980374503,D100,5,20,0.005,0.02192134107027724,5.524177949709864
4653,0.14640670193259292,0.12964367507823488,1.1293007687744292,-0.3910807601136794,0.35697399527186763,0.09311717228668492,3.346193117963617,0.44029480889418354,D100,5,20,0.008,0.02192134107027724,5.524177949709864
4653,0.1408825239828831,0.12980758229166994,1.0853181416346576,-0.3947528778031748,0.35632924994627124,0.0875889348722146,3.1358297007810356,0.4403283494653389,D100,5,20,0.01,0.02192134107027724,5.524177949709864
4672,0.2528180166874786,0.11694886147470812,2.161782624469193,-0.20168349663940366,0.3852739726027397,0.20970551492038872,8.761422081016955,0.3586896366705967,D100,10,1,0.0,0.14897260273972604,37.541095890410965
4672,0.19650637285186218,0.11711003499252347,1.677963573868008,-0.25423464214577207,0.3820633561643836,0.15332803795936484,6.04918483537972,0.359237358534684,D100,10,1,0.003,0.14897260273972604,37.541095890410965
4672,0.1589652769614512,0.11755763712027269,1.3522326652313925,-0.2985994970300536,0.3743578767123288,0.11574305331868208,4.391401166075163,0.3596025064440754,D100,10,1,0.005,0.14897260273972604,37.541095890410965
4672,0.10265363312583475,0.11873157624506231,0.864585785620814,-0.36100289697254995,0.3685787671232877,0.05936557635765805,2.123259224545587,0.36015022830816257,D100,10,1,0.008,0.14897260273972604,37.541095890410965
4672,0.0651125372354238,0.11984156896252306,0.5433218022686757,-0.3995360526722481,0.364083904109589,0.021780591716975422,0.74900329281731,0.3605153762175541,D100,10,1,0.01,0.14897260273972604,37.541095890410965
4668,0.16626667058936198,0.12320394554014416,1.3495239122450546,-0.34182867600626865,0.36568123393316193,0.11746550855552385,4.290208997792414,0.39950259177264646,D100,10,5,0.0,0.06812339331619537,17.16709511568123
4668,0.1405160279158401,0.12319792107573642,1.1405714210831313,-0.3689924962830894,0.36375321336760924,0.09175070729649755,3.2592480757446927,0.3992091819974069,D100,10,5,0.003,0.06812339331619537,17.16709511568123
4668,0.12334893280015892,0.12335615402806517,0.9999414603352127,-0.3870542641618242,0.36225364181662384,0.07460750645714671,2.601265202869983,0.3990135754805804,D100,10,5,0.005,0.06812339331619537,17.16709511568123
4668,0.09759829012663705,0.12383563345624007,0.7881276770076479,-0.4132142381459194,0.35946872322193657,0.048892705198120494,1.6574044096308043,0.39872016570534075,D100,10,5,0.008,0.06812339331619537,17.16709511568123
