industry_code,industry_name,weight,freq,src,dst,n,beta,t_beta,p_beta,gamma_dst_ar1,t_gamma,delta_mkt,t_delta,alpha,r2,r2_adj
5400,雲端運算,EW,M,中游,上游,207,-0.060151588709696814,-0.3430947426531293,0.7315271861128815,0.27307777029157854,1.0188440126105933,-0.16885231551438823,-0.6365291984513842,0.012915730871806863,0.012199062541253358,-0.0023989808694671044
5400,雲端運算,EW,D,中游,下游,4245,0.05277533375350152,0.9930060347586824,0.3207070135707155,0.022793340666131756,0.2960252046201375,0.05328775843343006,1.0497825153616045,0.0005759869119967996,0.015013745229116027,0.014316985322416431
5400,雲端運算,EW,W,中游,下游,875,-0.14526707370229508,-1.026750333742144,0.30453804154805786,0.2862332160439788,1.4537409973634416,-0.1004542586580398,-1.025384225195634,0.0025911105939177242,0.004948414440071103,0.0015211414702894777
5400,雲端運算,EW,M,中游,下游,207,0.03368580897225017,0.11811075397297403,0.9059799026593917,0.011152580692625418,0.02539989961740145,0.018995172769476848,0.07540891867443957,0.013304801877931144,0.0040912320658481605,-0.010626631499681238
5400,雲端運算,EW,D,下游,中游,4245,0.023421612248115963,0.28044314896783784,0.7791375365270494,0.07966237441407073,1.3754142847397275,0.04613338835649102,0.8247624352633558,0.0005704301952466793,0.017938285012963906,0.01724359386819585
5400,雲端運算,EW,W,下游,中游,875,0.30403127304171546,1.440835150250701,0.149631260465803,-0.1394031652810975,-0.9000632362858414,-0.11225763561344018,-1.0592542333150523,0.002579317855885666,0.005533993827139372,0.002108737778323544
5400,雲端運算,EW,M,下游,中游,207,0.13106896788743097,0.2834807867029193,0.7768083078559562,-0.02431686134457859,-0.0771534987752101,-0.033932481642560616,-0.12841880443255457,0.013281672923164166,0.004989526138339029,-0.009715062145331022
5800,運動科技,EW,D,上游,下游,4245,0.007733024230992057,0.158262188201282,0.874250202033905,-0.0894776930921241,-4.036888297735411,0.1319403687581293,2.177393507210971,0.00036502655170971845,0.007875098535342517,0.007173288890354512
5800,運動科技,EW,W,上游,下游,875,-0.05814824972656543,-0.5053389680573165,0.6133207774836807,-0.16526945838504972,-3.864950161794368,0.273457718411667,2.0474347224956038,0.0013149538342870056,0.029695736096294834,0.026353700744157993
5800,運動科技,EW,M,上游,下游,207,0.3563111267226029,1.7416756173607677,0.08156522135596803,-0.16055150159999293,-1.5544582564412077,-0.035203083823075916,-0.19884824074271415,0.0035424869347049914,0.04375507174521476,0.02962337329809961
