n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn
4653,0.15323173557519054,0.13602255623801718,1.1265170999070193,-0.33841787932464573,0.09420243894571609,3.0514997062394076,0.48771856406558245,D100+0.5·2330,20,20,0.008,0.017623038899634645
4672,0.2847094406814854,0.12808198132120055,2.2228688043753695,-0.18771182808164188,0.23218648919096424,10.77739768466761,0.43698318619458176,comm-EW-raw,1,1,0.0,0.4424229452054795
4672,0.005982985202033321,0.13040816374775904,0.0458789160899916,-0.5347253769328719,-0.04685121692017771,-1.9394434648576346,0.43957274540405294,comm-EW-raw,1,1,0.005,0.4424229452054795
4672,-0.1612528880856379,0.1331920932574077,-1.210679133738065,-0.9681548901705403,-0.2142738405868628,-8.253967200172989,0.44112648092973594,comm-EW-raw,1,1,0.008,0.4424229452054795
4668,0.15314439228399737,0.12623915138250064,1.2131291331321987,-0.36999927913337016,0.10170733935822761,3.9755790609678594,0.4210808739091754,comm-EW-raw,1,5,0.0,0.09618680377035133
4668,0.09254670590867604,0.12624911879069442,0.7330483317044546,-0.42998191304504485,0.041234789226053406,1.5726078978862275,0.42005646687912723,comm-EW-raw,1,5,0.005,0.09618680377035133
4668,0.05618809408348324,0.12677469670707991,0.44321221460548244,-0.463258819225731,0.004951259146748879,0.18553417917830134,0.4194418226610983,comm-EW-raw,1,5,0.008,0.09618680377035133
4663,0.11804693444300672,0.1329872932658675,0.8876557417181798,-0.4126170201257888,0.06117118444169094,2.3083152944320755,0.46627745105530727,comm-EW-raw,1,10,0.0,0.04932446922582029
4663,0.08697251883073995,0.13311042339373533,0.6533862383825398,-0.4441157104679341,0.0300248904285025,1.1086123686765477,0.4668667228902618,comm-EW-raw,1,10,0.005,0.04932446922582029
4663,0.06832786946337989,0.13345021116279723,0.5120102011680301,-0.46223394700202414,0.011337114020589421,0.41273726107582087,0.46722028599123444,comm-EW-raw,1,10,0.008,0.04932446922582029
4653,0.12075201153316141,0.14541326411061475,0.8304057561166243,-0.4660757365809596,0.052034633129984076,1.6912875112931445,0.5677645344737913,comm-EW-raw,1,20,0.0,0.024500322372662798
4653,0.10531680843838384,0.14542599132960557,0.7241952244952216,-0.47409149753186286,0.036599283423457085,1.186366645708208,0.5677657458260517,comm-EW-raw,1,20,0.005,0.024500322372662798
4653,0.0960556865815173,0.14555783920047413,0.65991421079851,-0.47885263361349684,0.027338073599540894,0.884186205136624,0.5677664726374079,comm-EW-raw,1,20,0.008,0.024500322372662798
4672,0.28428821056480685,0.12453231697205376,2.282846874427012,-0.14153563894386156,0.23492961798503562,11.09057177799986,0.410656188190056,comm-EW-raw,3,1,0.0,0.2773972602739726
4672,0.10952793659220406,0.12604695325596818,0.8689455299231363,-0.2504098235583786,0.05995260638505057,2.5615646082784225,0.4124594131858721,comm-EW-raw,3,1,0.005,0.2773972602739726
4672,0.004671772208642436,0.1281354696775015,0.036459633077403256,-0.47239570470906567,-0.045033600574940394,-1.8045186951305647,0.4135413481833618,comm-EW-raw,3,1,0.008,0.2773972602739726
4668,0.1309848566073854,0.1293940014953544,1.0122946588995327,-0.3652985889228709,0.07714360360753085,2.959343190389199,0.4407624577220946,comm-EW-raw,3,5,0.0,0.09554413024850043
4668,0.07079205455083012,0.12957195403280364,0.5463532218778436,-0.43284342707762147,0.016973283116942895,0.628498696481206,0.4405784161235601,comm-EW-raw,3,5,0.005,0.09554413024850043
4668,0.03467637331689695,0.13018152563767554,0.2663693880298276,-0.46994088470522366,-0.019128909177409906,-0.6923303042817868,0.44046799116443935,comm-EW-raw,3,5,0.008,0.09554413024850043
4663,0.12617391190249025,0.13289227610394297,0.9494450362472694,-0.41443670410879274,0.06970223532107149,2.320090456924952,0.4629647857407504,comm-EW-raw,3,10,0.0,0.04439202230323826
4663,0.09820693785145014,0.13297785852728072,0.7385209758909057,-0.44024867470798246,0.041695011676511184,1.3558247725610415,0.4632947590223719,comm-EW-raw,3,10,0.005,0.04439202230323826
4663,0.08142675342082609,0.13327009422773473,0.6109904393230363,-0.4552160316107189,0.024890677489774995,0.797664539783936,0.4634927429913447,comm-EW-raw,3,10,0.008,0.04439202230323826
4653,0.1393466664064517,0.13440620332612277,1.0367577013416667,-0.41344115686795435,0.08148122578833444,2.7200753030595846,0.4781024206410513,comm-EW-raw,3,20,0.0,0.02278100150440576
4653,0.12499463545867609,0.13441673811796226,0.9299037992499308,-0.4352384105462208,0.06713102151375093,2.214835051438486,0.4780873280941778,comm-EW-raw,3,20,0.005,0.02278100150440576
4653,0.11638341689001071,0.13454822965646998,0.8649940410748037,-0.44866562645604235,0.058520898949000866,1.9162248464999887,0.47807827256605373,comm-EW-raw,3,20,0.008,0.02278100150440576
4672,0.2835735256025145,0.12127302085037173,2.3383067694206394,-0.18766087756531136,0.23714321122535972,10.371962167818417,0.38629334675159654,comm-EW-raw,5,1,0.0,0.2144691780821918
4672,0.14845794341073368,0.12261096522005167,1.2108047852351058,-0.24474876445760785,0.10174549422141264,4.033838902866478,0.38864066665000435,comm-EW-raw,5,1,0.005,0.2144691780821918
4672,0.06738859409566522,0.1244347826796843,0.5415575343522286,-0.31114012644324374,0.020506864019044432,0.7644491143079954,0.390049058589049,comm-EW-raw,5,1,0.008,0.2144691780821918
4668,0.14479221101205286,0.12816104935942677,1.129767676963881,-0.29133138063705444,0.09231890067647233,3.394541581976656,0.4295640227464084,comm-EW-raw,5,5,0.0,0.0837617823479006
4668,0.09202228813287548,0.12846842505882,0.7163027653740018,-0.35067378926082027,0.039465836477241105,1.397063536719169,0.4302446453271146,comm-EW-raw,5,5,0.005,0.0837617823479006
4668,0.06036033440536906,0.12910278721876087,0.467537035456022,-0.3839313205706645,0.007753997957702322,0.2680900390795699,0.4306530188755383,comm-EW-raw,5,5,0.008,0.0837617823479006
4663,0.1496448407699712,0.13396325971060233,1.1170588196588038,-0.34607010243957415,0.09231636263661466,3.287683381784111,0.4699889962995298,comm-EW-raw,5,10,0.0,0.040317392236757454
