n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4663,0.12419845445209456,0.13621684951150403,0.9117701290074657,-0.3401108107351699,0.07005167004404944,2.57935545400409,0.44390490878872746,G_md,B_GA00,1,10,0.003,0.04524983915933948,11.402959468153549
4663,0.112795494983941,0.13630755935334207,0.8275072601919888,-0.3453849604601771,0.05861974436562022,2.1475219969554757,0.44414237890022096,G_md,B_GA00,1,10,0.005,0.04524983915933948,11.402959468153549
4663,0.09569105578171067,0.13659306947397554,0.7005557174329571,-0.3532270298687894,0.04147185584797636,1.50672659050455,0.44449858406746096,G_md,B_GA00,1,10,0.008,0.04524983915933948,11.402959468153549
4663,0.08428809631355712,0.13688255490592569,0.6157694555853754,-0.35840929564765145,0.030039930169547133,1.0848516159316308,0.4447360541789542,G_md,B_GA00,1,10,0.01,0.04524983915933948,11.402959468153549
4653,0.10798392936638204,0.15111109647836785,0.71459960176942,-0.5177756553203164,0.040038092233489496,1.1340874040953866,0.5613898184946622,G_md,B_GA00,1,20,0.0,0.024500322372662798,6.174081237911025
4653,0.09872280750951548,0.15108063463160346,0.6534444851270461,-0.5362309392721494,0.030802620292723987,0.8721573371573088,0.5611778908424034,G_md,B_GA00,1,20,0.003,0.024500322372662798,6.174081237911025
4653,0.09254872627160447,0.1511101636363578,0.6124586463576354,-0.5481551014774018,0.024645638998880306,0.697543324125594,0.5610366057408974,G_md,B_GA00,1,20,0.005,0.024500322372662798,6.174081237911025
4653,0.08328760441473794,0.15122915411047458,0.5507377522848235,-0.5654902573124383,0.01541016705811473,0.4357892628428521,0.5608246780886387,G_md,B_GA00,1,20,0.008,0.024500322372662798,6.174081237911025
4653,0.0771135231768269,0.1513581877241357,0.5094770513331822,-0.576689811225988,0.00925318576427104,0.2614894787710168,0.5606833929871327,G_md,B_GA00,1,20,0.01,0.024500322372662798,6.174081237911025
4672,0.28321643440608146,0.1343268130611133,2.1084132642768005,-0.20472329027652414,0.23175212857239652,9.824838776081968,0.42817541094495803,G_md,B_GA00,3,1,0.0,0.2752568493150685,69.36472602739727
4672,0.17916934536498552,0.13477913252954604,1.329355234763129,-0.29203959215917474,0.12758816845916615,5.171493472325232,0.42914776097529683,G_md,B_GA00,3,1,0.003,0.2752568493150685,69.36472602739727
4672,0.10980461933758828,0.1355443410931595,0.8101010964531501,-0.3615962847396078,0.05814552838367927,2.2817700875895612,0.4297959943288558,G_md,B_GA00,3,1,0.005,0.2752568493150685,69.36472602739727
4672,0.005757530296492381,0.13737215167202782,0.041911917564182326,-0.5142641143520287,-0.046018431729551015,-1.7160151053392165,0.430768344359195,G_md,B_GA00,3,1,0.008,0.2752568493150685,69.36472602739727
4672,-0.06360719573090487,0.13903011815744307,-0.4575065933474475,-0.8152675555610721,-0.11546107180503794,-4.156830451077191,0.431416577712754,G_md,B_GA00,3,1,0.01,0.2752568493150685,69.36472602739727
4668,0.1503155377335404,0.13253997020136407,1.1341147693421876,-0.33324382304638756,0.09930364235630454,3.5102508197845297,0.41760039239045127,G_md,B_GA00,3,5,0.0,0.09511568123393316,23.969151670951156
4668,0.11436181022711366,0.13244263583619656,0.8634818350229376,-0.37297004686620205,0.06336949439258191,2.1917693897684636,0.4174401077224228,G_md,B_GA00,3,5,0.003,0.09511568123393316,23.969151670951156
4668,0.09039265855616252,0.13258239728646465,0.6817847648421631,-0.3981611625002277,0.03941339575010015,1.3428735452205238,0.4173332512770704,G_md,B_GA00,3,5,0.005,0.09511568123393316,23.969151670951156
4668,0.05443893104973579,0.13309772662568192,0.4090147324817756,-0.47055100212446266,0.0034792477863774653,0.1158285803235217,0.4171729666090418,G_md,B_GA00,3,5,0.008,0.09511568123393316,23.969151670951156
4668,0.030469779378784628,0.13364323739046158,0.22799342468606892,-0.5277356228406789,-0.02047685085610429,-0.6710116270009072,0.4170661101636893,G_md,B_GA00,3,5,0.01,0.09511568123393316,23.969151670951156
4663,0.13823198056146016,0.13773376489116043,1.0036172369984473,-0.459174395934552,0.08369909827853465,2.5411443192160963,0.44707020740813763,G_md,B_GA00,3,10,0.0,0.0461076560154407,11.619129315891056
4663,0.12080328658762356,0.13767637580807648,0.8774438307122906,-0.47676820229229977,0.06625802668995212,1.989299511402409,0.4471716812815152,G_md,B_GA00,3,10,0.003,0.0461076560154407,11.619129315891056
