src_code,src_name,dst_code,dst_name,n,beta,t,p
GC00,顯示器模組,G700,擴散膜、增亮膜、導光板,4673,-0.03841653043556829,-0.9097652724967272,0.3629463126757979
GC00,顯示器模組,G800,背光模組,4673,-0.025670099212226093,-0.5596718018660967,0.5757033194499335
GC00,顯示器模組,G900,驅動IC,4673,-0.009708295792894618,-0.23662801916797613,0.8129453812776952
GC00,顯示器模組,GA00,其他零組件,4673,-0.04609616111997294,-1.2759664231317744,0.20196738868245268
GC00,顯示器模組,GB00,面板,4673,-2.8769292543060243e-05,-0.0005361655929577249,0.9995722017718421
GC00,顯示器模組,GD00,生產製程及檢測,4673,-0.014208072613930766,-0.3930526253956036,0.6942806133346751
GC00,顯示器模組,GF00,監視器/顯示器,4673,-0.04006209176946198,-1.0680790691010678,0.2854848465542721
GC00,顯示器模組,GG00,電視,4673,-0.03823611174259683,-1.0896352796994262,0.27587383585116343
GD00,生產製程及檢測,G100,化學品(如光阻劑、靶材等),4673,0.0079577998770527,0.21936569745734583,0.8263651887287109
GD00,生產製程及檢測,G400,背光源(發光二極體、冷陰極管),4673,0.004562769081847341,0.11567142670864113,0.9079129523942602
GD00,生產製程及檢測,G500,塑膠框,4673,-0.015105424120573523,-0.3551016716491702,0.7225134243624206
GD00,生產製程及檢測,G600,稜鏡片,4673,-0.010693594638745217,-0.24256711774274028,0.8083407567463523
GD00,生產製程及檢測,G700,擴散膜、增亮膜、導光板,4673,-0.013321298400766695,-0.3607420448114858,0.7182922908781506
GD00,生產製程及檢測,G800,背光模組,4673,-0.006017531943985806,-0.15342198998662637,0.8780655046713352
GD00,生產製程及檢測,G900,驅動IC,4673,0.016239315357987685,0.4381248377254689,0.6612957902928512
GD00,生產製程及檢測,GA00,其他零組件,4673,-0.012089266195438372,-0.38967366274267046,0.6967778741172499
GD00,生產製程及檢測,GB00,面板,4673,-0.008687394282768336,-0.2253299420759195,0.8217226081358191
GD00,生產製程及檢測,GC00,顯示器模組,4673,-0.013974186004978637,-0.37075905631521694,0.7108169995571691
GD00,生產製程及檢測,GF00,監視器/顯示器,4673,-0.03870709156431306,-1.164498483952032,0.2442220573783047
GD00,生產製程及檢測,GG00,電視,4673,-0.019131692633098316,-0.5937088373321747,0.5527068712575991
GF00,監視器/顯示器,G100,化學品(如光阻劑、靶材等),4673,-0.02425857034008014,-0.6585927740588646,0.5101573042758925
GF00,監視器/顯示器,G400,背光源(發光二極體、冷陰極管),4673,-0.019469558385205036,-0.46692374141039766,0.6405544386717228
GF00,監視器/顯示器,G500,塑膠框,4673,-0.02239541801948219,-0.49248792258509994,0.622374457744963
GF00,監視器/顯示器,G600,稜鏡片,4673,-0.022622605535145016,-0.4651682028928148,0.6418110074069519
GF00,監視器/顯示器,G700,擴散膜、增亮膜、導光板,4673,-0.06085034355120829,-1.5515958145265483,0.12075896527038911
GF00,監視器/顯示器,G800,背光模組,4673,-0.017304959557290937,-0.4229156377491952,0.6723568130384585
GF00,監視器/顯示器,G900,驅動IC,4673,-0.01190558390776228,-0.3129300537179313,0.7543338038876214
GF00,監視器/顯示器,GA00,其他零組件,4673,-0.03420207241923929,-1.0128727862381404,0.31112092856932383
GF00,監視器/顯示器,GB00,面板,4673,-0.009931924125774587,-0.24311860224943488,0.8079135209601341
GF00,監視器/顯示器,GC00,顯示器模組,4673,-0.014311053194969166,-0.3406800430799673,0.7333444641855038
GF00,監視器/顯示器,GD00,生產製程及檢測,4673,-0.04473564676725657,-1.2051390777491238,0.22814961626056918
GF00,監視器/顯示器,GG00,電視,4673,-0.020877914697551625,-0.5310577754917722,0.5953787432270423
GG00,電視,G100,化學品(如光阻劑、靶材等),4673,0.0017733739683440373,0.0488991566502112,0.9609996609555317
GG00,電視,G400,背光源(發光二極體、冷陰極管),4673,-0.004098365877772604,-0.10171388830399358,0.9189837780499734
GG00,電視,G500,塑膠框,4673,-0.030738920482404678,-0.7168890262172726,0.47344257365867104
GG00,電視,G600,稜鏡片,4673,-0.0035571445868252125,-0.07379106741318466,0.9411766348199482
GG00,電視,G700,擴散膜、增亮膜、導光板,4673,-0.04064687988973974,-1.0370956313748991,0.2996912909670931
GG00,電視,G800,背光模組,4673,-0.018972245288728005,-0.48807896231565456,0.6254939117877416
GG00,電視,G900,驅動IC,4673,-0.020330757939271638,-0.5294819598492436,0.5964711556832996
GG00,電視,GA00,其他零組件,4673,-0.002389822644444945,-0.07299306137827087,0.9418116390011088
GG00,電視,GB00,面板,4673,-0.01904283291837458,-0.4647604636886721,0.6421030035200297
GG00,電視,GC00,顯示器模組,4673,-0.017976889809805094,-0.45586323251933186,0.6484883303344287
GG00,電視,GD00,生產製程及檢測,4673,0.030100116053719043,0.8439652268273017,0.3986888372217635
GG00,電視,GF00,監視器/顯示器,4673,0.02537481606108306,0.6343424356650414,0.5258573680456087
