date,rank,stock_id,score,yoy,status
2014-02-27,-1,3305,0.05410026425452011,-14.97,rejected_yoy_neg
2014-02-27,-1,4720,0.049489320942252724,-11.35,rejected_yoy_neg
2014-02-27,-1,6207,0.03596539176540845,-30.14,rejected_yoy_neg
2014-02-27,-1,3030,0.030845413417143534,-56.35,rejected_yoy_neg
2014-03-31,1,3010,0.17033347267153223,32.06,selected
2014-03-31,2,2467,0.0845538263138789,80.73,selected
2014-03-31,3,3030,0.08216069303971008,48.63,selected
2014-03-31,4,3305,0.07091568562024773,3.51,selected
2014-03-31,5,1711,0.049509403446351574,27.1,selected
2014-03-31,6,4720,0.03285661913197573,20.93,selected
2014-03-31,7,3402,0.0219726222892581,55.63,selected
2014-03-31,-1,5536,0.09888977082602522,-40.1,rejected_yoy_neg
2014-03-31,-1,3535,0.08591893141245151,-0.21,rejected_yoy_neg
2014-03-31,-1,6207,0.05715126152190056,-31.36,rejected_yoy_neg
2014-03-31,-1,1742,0.02493912310683396,-34.23,rejected_yoy_neg
2014-04-30,1,3010,0.11906875363960284,8.02,selected
2014-04-30,2,2467,0.11508802978640655,37.65,selected
2014-04-30,3,3535,0.08165079755174731,83.55,selected
2014-04-30,4,1711,0.05214820330492694,17.44,selected
2014-04-30,5,3030,0.03482971185518899,58.06,selected
2014-04-30,6,3402,0.03280375372128851,45.81,selected
2014-04-30,7,3305,0.02971834280410291,4.5,selected
2014-04-30,8,8091,0.004854503952134419,9.93,selected
2014-04-30,-1,5536,0.0844164461823998,-44.67,rejected_yoy_neg
2014-04-30,-1,1742,0.08308362584144867,-51.45,rejected_yoy_neg
2014-04-30,-1,6207,0.08000012728861003,-1.49,rejected_yoy_neg
2014-04-30,-1,3114,0.015265110772043055,-18.27,rejected_yoy_neg
2014-05-30,1,3010,0.18707467761974172,19.23,selected
2014-05-30,2,1742,0.0832924252448484,16.31,selected
2014-05-30,3,3030,0.060643346209429336,23.29,selected
2014-05-30,4,3114,0.06028317713503171,29.66,selected
2014-05-30,5,1711,0.05839442678621386,23.34,selected
2014-05-30,6,3402,0.04773063775154047,49.18,selected
2014-05-30,7,6277,0.040744769184410896,13.64,selected
2014-05-30,8,8091,0.020952196189342954,7.73,selected
2014-05-30,-1,2467,0.13896422645258283,-27.14,rejected_yoy_neg
2014-05-30,-1,6207,0.10697080018104028,-37.0,rejected_yoy_neg
2014-05-30,-1,3535,0.10621195628622351,-16.1,rejected_yoy_neg
2014-05-30,-1,5536,0.05978748410495247,-31.86,rejected_yoy_neg
2014-05-30,-1,3305,0.037279458395520555,-6.06,rejected_yoy_neg
2014-06-30,1,3010,0.1692585644111163,9.46,selected
2014-06-30,2,2467,0.09827708909912464,0.52,selected
2014-06-30,3,1742,0.07569517750278329,35.72,selected
2014-06-30,4,3114,0.07350510692589081,38.93,selected
2014-06-30,5,5536,0.06677849077105315,7.42,selected
2014-06-30,6,1711,0.06292403628451057,22.78,selected
2014-06-30,7,3030,0.056525084085598185,43.93,selected
2014-06-30,8,3535,0.03585971793838297,2013.59,selected
2014-06-30,9,6277,0.011812308664393643,1.11,selected
2014-06-30,-1,6207,0.06168670947332871,-25.67,rejected_yoy_neg
2014-07-31,1,3010,0.1937259598888205,19.51,selected
2014-07-31,2,3114,0.08989154266272202,18.41,selected
2014-07-31,3,2467,0.08758490746220621,9.05,selected
2014-07-31,4,6207,0.07785427672063226,4.03,selected
2014-07-31,5,5536,0.07228690848007216,12.37,selected
2014-07-31,6,1711,0.0529630186272139,28.07,selected
2014-07-31,7,3535,0.05026979407552199,8.67,selected
2014-07-31,8,3030,0.0361688234090095,31.15,selected
2014-07-31,-1,1742,0.07945954666899246,-21.09,rejected_yoy_neg
2014-08-29,1,3010,0.1317084987201332,15.83,selected
2014-08-29,2,5536,0.08864386610008765,39.73,selected
2014-08-29,3,2467,0.08233870744254373,1.67,selected
2014-08-29,4,3535,0.04350778989954929,931.8,selected
2014-08-29,5,1711,0.005170096411679561,20.99,selected
2014-08-29,-1,1742,0.09254221695195196,-26.61,rejected_yoy_neg
2014-08-29,-1,6207,0.04095505302058963,-20.45,rejected_yoy_neg
2014-09-30,1,2467,0.09966171123623054,2.0,selected
2014-09-30,2,5536,0.08927163617116976,3.52,selected
2014-09-30,3,3010,0.06501656839003615,12.42,selected
2014-09-30,4,1711,0.044843954084640855,2.59,selected
2014-09-30,5,4722,0.02825360841984852,0.2,selected
2014-09-30,6,3030,0.01908678524821291,97.87,selected
2014-09-30,-1,1742,0.07023294456488632,-38.07,rejected_yoy_neg
2014-09-30,-1,3535,0.05604165400534851,-64.38,rejected_yoy_neg
2014-09-30,-1,6207,0.017124695072899817,-20.13,rejected_yoy_neg
2014-10-31,1,6207,0.061345157415057756,22.51,selected
2014-10-31,2,3535,0.05360863180524547,1.39,selected
2014-10-31,3,3010,0.04816785874316168,25.96,selected
2014-10-31,4,1742,0.024364640959022434,10.65,selected
2014-10-31,5,2360,0.009110298561578902,12.46,selected
2014-10-31,6,8374,0.006875425847549229,31.86,selected
2014-10-31,-1,2467,0.12178077719857062,-15.17,rejected_yoy_neg
2014-10-31,-1,5536,0.10207247019866232,-23.39,rejected_yoy_neg
2014-10-31,-1,1711,0.033323593085853295,-1.3,rejected_yoy_neg
2014-11-28,1,3680,0.43760023909759266,23.28,selected
2014-11-28,2,5536,0.10766518395762484,1.49,selected
2014-11-28,3,6207,0.060301014489511404,48.25,selected
2014-11-28,4,1711,0.04316199290812962,1.17,selected
2014-11-28,5,3535,0.027098838543125666,12.22,selected
2014-11-28,6,8374,0.022530762880307545,29.27,selected
2014-11-28,-1,2467,0.06901608017643056,-12.47,rejected_yoy_neg
2014-12-31,1,5536,0.1317936723522307,22.34,selected
2014-12-31,2,8374,0.06660587204432854,18.63,selected
2014-12-31,3,6207,0.03025661615815345,67.34,selected
2014-12-31,4,1711,0.025618322350083902,2.15,selected
2014-12-31,5,4722,0.0159305596888154,1.54,selected
2014-12-31,6,3010,0.010835742607360041,3.13,selected
2014-12-31,-1,3680,0.4180850784569281,-21.04,rejected_yoy_neg
2014-12-31,-1,2467,0.10581268055257016,-23.8,rejected_yoy_neg
2014-12-31,-1,3535,0.04184003755218789,-51.44,rejected_yoy_neg
2015-01-30,1,3680,0.4015736962427887,13.92,selected
2015-01-30,2,8374,0.07044416449490147,14.08,selected
2015-01-30,3,2467,0.07038609687915735,91.75,selected
2015-01-30,4,6207,0.06394945548001965,106.62,selected
2015-01-30,5,3535,0.060599433157170944,1222.95,selected
2015-01-30,6,3010,0.035048053423892285,12.66,selected
2015-01-30,7,1711,0.030675942837918503,0.61,selected
2015-01-30,8,6223,0.013722590203310792,61.99,selected
2015-01-30,9,4722,0.008865521142210496,11.45,selected
2015-01-30,-1,5536,0.1403821043322841,-22.83,rejected_yoy_neg
2015-01-30,-1,8091,0.060431953680640485,-3.05,rejected_yoy_neg
2015-01-30,-1,1742,0.009197846411330148,-26.77,rejected_yoy_neg
2015-02-26,1,6207,0.12466714515107079,70.38,selected
2015-02-26,2,3535,0.07955358723005146,17.76,selected
2015-02-26,3,3010,0.058218913568739754,2.32,selected
2015-02-26,4,3114,0.04159335902866311,26.17,selected
2015-02-26,5,4722,0.04116518006754139,18.75,selected
2015-02-26,6,1711,0.03300158810720639,2.32,selected
2015-02-26,7,2360,0.02844324067879486,8.1,selected
2015-02-26,8,6223,0.01901016779659413,59.55,selected
