A,A_name,n_A,B,B_name,n_B,n,beta_AB,t_AB,p_AB
F000,電腦週邊,303,Q000,鋼鐵,58,4673,-0.06946138622774407,-0.8067987085296979,0.41978246333212577
F000,電腦週邊,303,R000,軟體服務,72,4673,0.0670511587594404,0.9041302030777617,0.36592636476423135
F000,電腦週邊,303,R300,電子商務,31,4673,0.07035889855138712,0.9307317120433434,0.3519923613703346
F000,電腦週邊,303,S000,建材營造,130,4673,0.022426033903904807,0.2743780692531575,0.7837940947443374
F000,電腦週邊,303,T000,交通運輸及航運,36,4673,0.19917588284389212,1.8676461246921505,0.06181141273783551
F000,電腦週邊,303,U000,金融,46,4673,0.04749530078346565,0.5286029905748912,0.5970808852927667
F000,電腦週邊,303,V000,貿易百貨,69,4673,0.043409463409021035,0.620804877526547,0.5347280136467303
F000,電腦週邊,303,W000,油電燃氣,11,4673,-0.08920328576206545,-1.7604121168025368,0.07833795638616335
F000,電腦週邊,303,X000,其他,256,4673,0.009631538762433786,0.14034288946871495,0.8883890787329812
F000,電腦週邊,303,Y000,文化創意,35,4673,-0.009864012989705804,-0.11879158802368904,0.905440473277798
G000,平面顯示器,131,1000,水泥,10,4673,-0.07618768618563332,-1.0498837927596,0.2937715439497509
G000,平面顯示器,131,2000,造紙,8,4673,-0.10407390602844387,-1.2985948708917576,0.19408299912679994
G000,平面顯示器,131,3000,汽車,69,4673,-0.009501532750269265,-0.14543974047289493,0.884363689854538
G000,平面顯示器,131,4100,太空衛星科技,14,4673,-0.025013809065335128,-0.2664051319882871,0.7899272132467257
G000,平面顯示器,131,5100,區塊鏈,7,4673,-0.04438468320653302,-0.4850339102956267,0.6276522913864533
G000,平面顯示器,131,5200,金融科技,18,4673,0.07358171887084294,0.9004120107038149,0.3679010314043746
G000,平面顯示器,131,5300,人工智慧,61,4673,-0.019479348496789242,-0.2515346675311874,0.8014007627329797
G000,平面顯示器,131,5400,雲端運算,59,4673,-0.03100203454302958,-0.4438537339366672,0.657148336303022
G000,平面顯示器,131,5500,資通訊安全,33,4673,-0.027932155307202017,-0.39141764985359645,0.6954885482218764
G000,平面顯示器,131,5600,大數據,40,4673,-0.0028136937269964027,-0.04043292388868397,0.9677479822348904
G000,平面顯示器,131,5700,體驗科技,19,4673,-0.05318653664689308,-0.609208940976697,0.5423859546865615
G000,平面顯示器,131,5800,運動科技,24,4673,-0.055910025106473166,-0.7294822923584551,0.465706695684142
G000,平面顯示器,131,6000,自動化,13,4673,0.06179467195220503,0.706360995043352,0.47996367073844715
G000,平面顯示器,131,B000,休閒娛樂,70,4673,0.017058948159629633,0.2708244032100849,0.7865260899917081
G000,平面顯示器,131,C100,製藥,78,4673,-0.07396615086603354,-0.802702218017243,0.4221468706417131
G000,平面顯示器,131,C200,醫療器材,118,4673,-0.005091312448662194,-0.07525515808686949,0.9400116989239988
G000,平面顯示器,131,C300,食品生技,40,4673,-0.017177254345536713,-0.2159746091038853,0.8290075394909238
G000,平面顯示器,131,C400,再生醫療,11,4673,0.002438912091896348,0.024613217640576487,0.9803634763415645
G000,平面顯示器,131,D000,半導體,297,4673,-0.11776081982391914,-1.2852774884681715,0.19869533385104976
G000,平面顯示器,131,F000,電腦週邊,303,4673,-0.06471424772657575,-0.7835287732887729,0.43331666390727164
G000,平面顯示器,131,H000,觸控面板,45,4673,-0.04466417734823524,-0.4772707308117166,0.6331693503253637
G000,平面顯示器,131,I000,通信網路,162,4673,0.011628589287816649,0.14949901121277626,0.8811598895380457
G000,平面顯示器,131,J000,被動元件,51,4673,0.02018351182411273,0.22802831319350955,0.8196242295441875
G000,平面顯示器,131,K000,連接器,57,4673,0.014175197011439513,0.18338038563906417,0.8544995648923119
G000,平面顯示器,131,L000,印刷電路板,94,4673,0.008813171922874672,0.10525793980037962,0.9161711366955143
G000,平面顯示器,131,M000,食品,59,4673,-0.04488477062712882,-0.7506633702418097,0.4528552729330959
G000,平面顯示器,131,N000,石化及塑橡膠,89,4673,-0.05163308819573863,-0.8512577875040908,0.3946261682774602
G000,平面顯示器,131,O000,紡織,74,4673,-0.0945186811751966,-1.6482066545844463,0.09931027174659476
